Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,044021,1942,04,24.5,Y
IDCJAC0001,044021,1942,05,57.4,Y
IDCJAC0001,044021,1942,06,24.7,Y
IDCJAC0001,044021,1942,07,55.7,Y
IDCJAC0001,044021,1942,08,0.5,Y
IDCJAC0001,044021,1942,09,4.6,Y
IDCJAC0001,044021,1942,10,65.5,Y
IDCJAC0001,044021,1942,11,48.8,Y
IDCJAC0001,044021,1942,12,219.7,Y
IDCJAC0001,044021,1943,01,90.7,Y
IDCJAC0001,044021,1943,02,12.4,Y
IDCJAC0001,044021,1943,03,16.3,Y
IDCJAC0001,044021,1943,04,20.8,Y
IDCJAC0001,044021,1943,05,13.5,Y
IDCJAC0001,044021,1943,06,37.6,Y
IDCJAC0001,044021,1943,07,5.1,Y
IDCJAC0001,044021,1943,08,36.1,Y
IDCJAC0001,044021,1943,09,69.5,Y
IDCJAC0001,044021,1943,10,37.4,Y
IDCJAC0001,044021,1943,11,59.7,Y
IDCJAC0001,044021,1943,12,15.3,Y
IDCJAC0001,044021,1944,01,22.6,Y
IDCJAC0001,044021,1944,02,61.6,Y
IDCJAC0001,044021,1944,03,1.5,Y
IDCJAC0001,044021,1944,04,2.0,Y
IDCJAC0001,044021,1944,05,25.9,Y
IDCJAC0001,044021,1944,06,3.8,Y
IDCJAC0001,044021,1944,07,39.6,Y
IDCJAC0001,044021,1944,08,65.2,Y
IDCJAC0001,044021,1944,09,10.1,Y
IDCJAC0001,044021,1944,10,5.4,Y
IDCJAC0001,044021,1944,11,37.8,Y
IDCJAC0001,044021,1944,12,14.8,Y
IDCJAC0001,044021,1945,01,13.1,Y
IDCJAC0001,044021,1945,02,70.8,Y
IDCJAC0001,044021,1945,03,9.5,Y
IDCJAC0001,044021,1945,04,51.1,Y
IDCJAC0001,044021,1945,05,21.6,Y
IDCJAC0001,044021,1945,06,12.8,Y
IDCJAC0001,044021,1945,07,29.5,Y
IDCJAC0001,044021,1945,08,38.4,Y
IDCJAC0001,044021,1945,09,1.3,Y
