Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033059,1890,03,721.4,Y
IDCJAC0001,033059,1890,04,118.4,Y
IDCJAC0001,033059,1890,05,138.2,Y
IDCJAC0001,033059,1890,06,62.0,Y
IDCJAC0001,033059,1896,04,95.8,Y
IDCJAC0001,033059,1896,05,41.1,Y
IDCJAC0001,033059,1896,06,51.1,Y
IDCJAC0001,033059,1896,07,22.6,Y
IDCJAC0001,033059,1896,08,12.4,Y
IDCJAC0001,033059,1909,01,707.6,Y
IDCJAC0001,033059,1909,02,62.7,Y
IDCJAC0001,033059,1909,03,244.3,Y
IDCJAC0001,033059,1909,04,62.5,Y
IDCJAC0001,033059,1909,05,26.2,Y
IDCJAC0001,033059,1909,06,33.8,Y
IDCJAC0001,033059,1909,07,90.4,Y
IDCJAC0001,033059,1909,08,31.2,Y
IDCJAC0001,033059,1909,09,15.0,Y
IDCJAC0001,033059,1909,10,50.5,Y
IDCJAC0001,033059,1909,11,86.4,Y
IDCJAC0001,033059,1909,12,769.6,Y
IDCJAC0001,033059,1910,01,963.2,Y
IDCJAC0001,033059,1910,02,179.1,Y
IDCJAC0001,033059,1910,03,711.7,Y
IDCJAC0001,033059,1910,04,177.0,Y
IDCJAC0001,033059,1910,05,151.4,Y
IDCJAC0001,033059,1910,06,89.2,Y
IDCJAC0001,033059,1910,07,57.7,Y
IDCJAC0001,033059,1910,08,3.8,Y
IDCJAC0001,033059,1910,09,27.4,Y
IDCJAC0001,033059,1910,10,101.6,Y
IDCJAC0001,033059,1910,11,241.3,Y
IDCJAC0001,033059,1910,12,0.0,Y
IDCJAC0001,033059,1911,01,954.5,Y
IDCJAC0001,033059,1911,02,369.3,Y
IDCJAC0001,033059,1911,03,437.9,Y
IDCJAC0001,033059,1911,04,71.9,Y
IDCJAC0001,033059,1911,05,0.0,Y
IDCJAC0001,033059,1911,06,0.0,Y
IDCJAC0001,033059,1911,07,0.0,Y
IDCJAC0001,033059,1911,08,0.0,Y
IDCJAC0001,033059,1911,09,0.0,Y
IDCJAC0001,033059,1911,10,63.8,Y
IDCJAC0001,033059,1911,11,15.7,Y
IDCJAC0001,033059,1911,12,22.1,Y
IDCJAC0001,033059,1912,01,119.4,Y
IDCJAC0001,033059,1912,02,238.0,Y
IDCJAC0001,033059,1912,03,174.5,Y
IDCJAC0001,033059,1912,04,2.5,Y
IDCJAC0001,033059,1912,05,114.0,Y
IDCJAC0001,033059,1912,06,147.3,Y
IDCJAC0001,033059,1912,07,2.5,Y
IDCJAC0001,033059,1912,08,0.0,Y
IDCJAC0001,033059,1912,09,0.0,Y
IDCJAC0001,033059,1912,10,133.6,Y
IDCJAC0001,033059,1912,11,128.0,Y
IDCJAC0001,033059,1912,12,23.1,Y
IDCJAC0001,033059,1913,01,522.0,Y
IDCJAC0001,033059,1913,02,1615.3,Y
IDCJAC0001,033059,1913,03,360.0,Y
IDCJAC0001,033059,1913,04,114.6,Y
IDCJAC0001,033059,1913,05,150.9,Y
IDCJAC0001,033059,1913,06,108.2,Y
IDCJAC0001,033059,1913,07,1.3,Y
IDCJAC0001,033059,1913,08,0.0,Y
IDCJAC0001,033059,1913,09,5.3,Y
IDCJAC0001,033059,1913,10,0.0,Y
IDCJAC0001,033059,1913,11,5.8,Y
IDCJAC0001,033059,1913,12,493.6,Y
IDCJAC0001,033059,1914,01,567.4,Y
IDCJAC0001,033059,1914,02,249.1,Y
IDCJAC0001,033059,1914,03,417.3,Y
IDCJAC0001,033059,1914,04,45.2,Y
IDCJAC0001,033059,1914,05,66.3,Y
IDCJAC0001,033059,1914,06,244.5,Y
IDCJAC0001,033059,1914,07,0.0,Y
IDCJAC0001,033059,1914,08,7.2,Y
IDCJAC0001,033059,1914,09,47.6,Y
IDCJAC0001,033059,1914,10,133.3,Y
IDCJAC0001,033059,1914,11,36.9,Y
IDCJAC0001,033059,1914,12,138.6,Y
IDCJAC0001,033059,1915,01,198.4,Y
IDCJAC0001,033059,1915,02,163.9,Y
IDCJAC0001,033059,1915,03,18.5,Y
IDCJAC0001,033059,1915,04,66.9,Y
IDCJAC0001,033059,1915,05,59.0,Y
IDCJAC0001,033059,1915,06,2.5,Y
IDCJAC0001,033059,1915,07,15.4,Y
IDCJAC0001,033059,1915,08,26.7,Y
IDCJAC0001,033059,1915,09,9.1,Y
IDCJAC0001,033059,1915,10,118.7,Y
IDCJAC0001,033059,1915,11,238.2,Y
IDCJAC0001,033059,1915,12,332.7,Y
IDCJAC0001,033059,1916,01,96.0,Y
IDCJAC0001,033059,1916,02,82.5,Y
IDCJAC0001,033059,1916,03,140.0,Y
IDCJAC0001,033059,1916,04,112.1,Y
IDCJAC0001,033059,1916,05,58.2,Y
IDCJAC0001,033059,1916,06,48.6,Y
IDCJAC0001,033059,1916,07,112.2,Y
IDCJAC0001,033059,1916,08,35.3,Y
IDCJAC0001,033059,1916,09,34.0,Y
IDCJAC0001,033059,1916,10,99.4,Y
IDCJAC0001,033059,1916,11,93.3,Y
IDCJAC0001,033059,1916,12,616.8,Y
IDCJAC0001,033059,1917,01,303.0,Y
IDCJAC0001,033059,1917,02,389.5,Y
IDCJAC0001,033059,1917,03,329.2,Y
IDCJAC0001,033059,1917,04,118.7,Y
IDCJAC0001,033059,1917,05,38.3,Y
IDCJAC0001,033059,1917,06,5.1,Y
IDCJAC0001,033059,1917,07,0.0,Y
IDCJAC0001,033059,1917,08,84.1,Y
IDCJAC0001,033059,1917,09,35.8,Y
IDCJAC0001,033059,1917,10,45.2,Y
IDCJAC0001,033059,1917,11,150.5,Y
IDCJAC0001,033059,1917,12,307.8,Y
IDCJAC0001,033059,1918,01,2027.6,Y
IDCJAC0001,033059,1918,02,351.6,Y
IDCJAC0001,033059,1918,03,94.4,Y
IDCJAC0001,033059,1918,04,172.7,Y
IDCJAC0001,033059,1918,05,63.0,Y
IDCJAC0001,033059,1918,06,0.0,Y
IDCJAC0001,033059,1918,07,13.8,Y
IDCJAC0001,033059,1918,08,21.8,Y
IDCJAC0001,033059,1918,09,26.2,Y
IDCJAC0001,033059,1918,10,0.0,Y
IDCJAC0001,033059,1918,11,103.5,Y
IDCJAC0001,033059,1918,12,20.6,Y
IDCJAC0001,033059,1919,01,290.3,Y
IDCJAC0001,033059,1919,02,246.4,Y
IDCJAC0001,033059,1919,03,113.5,Y
IDCJAC0001,033059,1919,04,358.8,Y
IDCJAC0001,033059,1919,05,167.6,Y
IDCJAC0001,033059,1919,06,118.9,Y
